"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"XTEXVA01","Exports in goods (value)","AUS","Australia","CXML","US-Dollar converted","Q","Quarterly","2016-Q4","Q4-2016","USD","US Dollar","9","Billions",,,57.92999,,
"XTEXVA01","Exports in goods (value)","AUS","Australia","CXML","US-Dollar converted","Q","Quarterly","2017-Q1","Q1-2017","USD","US Dollar","9","Billions",,,56.49471,,
"XTEXVA01","Exports in goods (value)","AUS","Australia","CXML","US-Dollar converted","Q","Quarterly","2017-Q2","Q2-2017","USD","US Dollar","9","Billions",,,56.13961,,
"XTEXVA01","Exports in goods (value)","AUS","Australia","CXML","US-Dollar converted","Q","Quarterly","2017-Q3","Q3-2017","USD","US Dollar","9","Billions",,,59.62208,,
"XTEXVA01","Exports in goods (value)","AUS","Australia","CXML","US-Dollar converted","Q","Quarterly","2017-Q4","Q4-2017","USD","US Dollar","9","Billions",,,58.77605,,
"XTEXVA01","Exports in goods (value)","AUS","Australia","CXML","US-Dollar converted","Q","Quarterly","2018-Q1","Q1-2018","USD","US Dollar","9","Billions",,,61.50787,,
"XTEXVA01","Exports in goods (value)","AUS","Australia","CXML","US-Dollar converted","Q","Quarterly","2018-Q2","Q2-2018","USD","US Dollar","9","Billions",,,63.75042,,
"XTEXVA01","Exports in goods (value)","AUS","Australia","CXML","US-Dollar converted","Q","Quarterly","2018-Q3","Q3-2018","USD","US Dollar","9","Billions",,,64.96259,,
"XTEXVA01","Exports in goods (value)","AUS","Australia","CXML","US-Dollar converted","Q","Quarterly","2018-Q4","Q4-2018","USD","US Dollar","9","Billions",,,66.94403,,
"XTEXVA01","Exports in goods (value)","AUS","Australia","CXML","US-Dollar converted","Q","Quarterly","2019-Q1","Q1-2019","USD","US Dollar","9","Billions",,,64.22102,,
"XTEXVA01","Exports in goods (value)","AUS","Australia","CXML","US-Dollar converted","Q","Quarterly","2019-Q2","Q2-2019","USD","US Dollar","9","Billions",,,70.21252,,
"XTEXVA01","Exports in goods (value)","AUS","Australia","CXML","US-Dollar converted","Q","Quarterly","2019-Q3","Q3-2019","USD","US Dollar","9","Billions",,,70.02585,,
"XTEXVA01","Exports in goods (value)","AUS","Australia","CXML","US-Dollar converted","Q","Quarterly","2019-Q4","Q4-2019","USD","US Dollar","9","Billions",,,66.42065,,
